6.661338147750939e-16,10.0,1.75,1.75
8.881784197001252e-16,15.0,1.75,1.75
1.3322676295501878e-15,20.0,1.75,1.75
1.5543122344752192e-15,25.0,1.75,1.75
1.7763568394002505e-15,30.0,1.75,1.75
2.220446049250313e-15,35.0,1.75,1.75
2.4424906541753444e-15,40.0,1.75,1.75
2.6645352591003757e-15,45.0,1.75,1.75
3.1086244689504383e-15,50.0,1.75,1.75
3.3306690738754696e-15,55.0,1.75,1.75
3.774758283725532e-15,60.0,1.75,1.75
3.9968028886505635e-15,65.0,1.75,1.75
4.218847493575595e-15,70.0,1.75,1.75
4.6629367034256575e-15,75.0,1.75,1.75
2.220446049250313e-16,4.439077150000003,1.7263281200000051,1.7263281200000051
4.440892098500626e-16,5.73907715,1.7263281200000051,1.7263281200000051
4.884981308350689e-15,79.43907227,1.7263281200000051,1.7263281200000051
4.884981308350689e-15,80.73907227,1.7263281200000051,1.7263281200000051
5.10702591327572e-15,85.0,1.75,1.75
5.551115123125783e-15,90.0,1.75,1.75
5.773159728050814e-15,95.0,1.75,1.75
6.217248937900877e-15,100.0,1.75,1.75
6.439293542825908e-15,105.0,1.75,1.75
6.661338147750939e-15,110.0,1.75,1.75
7.105427357601002e-15,115.0,1.75,1.75
7.327471962526033e-15,120.0,1.75,1.75
7.549516567451064e-15,125.0,1.75,1.75
7.993605777301127e-15,130.0,1.75,1.75
8.215650382226158e-15,135.0,1.75,1.75
8.659739592076221e-15,140.0,1.75,1.75
8.881784197001252e-15,145.0,1.75,1.75
9.103828801926284e-15,150.0,1.75,1.75
9.547918011776346e-15,155.0,1.75,1.75
9.769962616701378e-15,160.0,1.75,1.75
1.021405182655144e-14,165.0,1.75,1.75
1.0436096431476471e-14,170.0,1.75,1.75
1.0658141036401503e-14,175.0,1.75,1.75
1.1102230246251565e-14,180.0,1.75,1.75
1.099120794378905e-14,180.0,0.5799999999999983,0.5799999999999983
